address,role,status,dns_name,description,comments
2606:1a40:1::47/128,anycast,active,,Control D(hBlock),"Blocks ads, tracking, and malware domains."
76.76.2.1/32,anycast,active,p1.freedns.controld.com,Control D(Malware),
76.76.10.1/32,anycast,active,s1.freedns.controld.com,Control D(Malware),
2606:1a40::1/128,anycast,active,p1.freedns.controld.com,Control D(Malware),
2606:1a40:1::1/128,anycast,active,s1.freedns.controld.com,Control D(Malware),
76.76.2.33/32,anycast,active,,Control D(OISD - Basic),Smaller variant focusing on ads and mobile app ads.
76.76.10.33/32,anycast,active,,Control D(OISD - Basic),Smaller variant focusing on ads and mobile app ads.
2606:1a40::33/128,anycast,active,,Control D(OISD - Basic),Smaller variant focusing on ads and mobile app ads.
2606:1a40:1::33/128,anycast,active,,Control D(OISD - Basic),Smaller variant focusing on ads and mobile app ads.
76.76.2.32/32,anycast,active,,Control D(OISD - Full),"Blocks ads, malware, phishing, tracking. Prioritizes functionality over blocking."
76.76.10.32/32,anycast,active,,Control D(OISD - Full),"Blocks ads, malware, phishing, tracking. Prioritizes functionality over blocking."
2606:1a40::32/128,anycast,active,,Control D(OISD - Full),"Blocks ads, malware, phishing, tracking. Prioritizes functionality over blocking."
2606:1a40:1::32/128,anycast,active,,Control D(OISD - Full),"Blocks ads, malware, phishing, tracking. Prioritizes functionality over blocking."
76.76.2.3/32,anycast,active,p3.freedns.controld.com,Control D(Social),
76.76.10.3/32,anycast,active,s3.freedns.controld.com,Control D(Social),
2606:1a40::3/128,anycast,active,p3.freedns.controld.com,Control D(Social),
2606:1a40:1::3/128,anycast,active,s3.freedns.controld.com,Control D(Social),
76.76.2.35/32,anycast,active,,Control D(StevenBlack Unified),Unified hosts from curated sources. Blocks adware and malware.
76.76.10.35/32,anycast,active,,Control D(StevenBlack Unified),Unified hosts from curated sources. Blocks adware and malware.
2606:1a40::35/128,anycast,active,,Control D(StevenBlack Unified),Unified hosts from curated sources. Blocks adware and malware.
2606:1a40:1::35/128,anycast,active,,Control D(StevenBlack Unified),Unified hosts from curated sources. Blocks adware and malware.
76.76.2.5/32,anycast,active,p5.freedns.controld.com,Control D(Uncensored),
76.76.10.5/32,anycast,active,s5.freedns.controld.com,Control D(Uncensored),
2606:1a40::5/128,anycast,active,p5.freedns.controld.com,Control D(Uncensored),
